produto;marca;valor;tipo_instrumento;tipo_captadores;modelo;ano;made_in;descricao
Guitarra;Fender;R$39.900,00;Stratocaster;SSS;Jeff Beck;1986;EUA;Guitarra modelo Jeff Beck, remete a saudade dos timbres clássicos e das alavancadas fantásticas desse guitarrista...
Guitarra;Fender;R$17.500,00;Stratocaster;SSS;Yngwie Malmsteen;1995;EUA;Guitarra que traz o desejo de voltar aos bons tempos de metal neoclássico. Arpejos, Sweep Picking somados a escala menor harmônica e uma pitada de escala escalopada.
Guitarra;SUHR;R$36.604,00;Stratocaster;HSS;Mateus Asato;2020;EUA;Você comprará uma guitarra de um cara extremamente versátil e virtuoso. Você não será assim se não estudar.
Guitarra;Ibanez;R$39.161,00;Super Strato;HS;Joe Satriani;2007;Japan;Joe Satriani e uma guitarra fantástica, sem comentários.
Guitarra;Gibson;R$37.382,00;Les Paul;HH;Slash Appetite Burst;1998;EUA;Guitarrista que só sabe fazer pentatônica, fraco, mas tem boa mídia, assim a guitarra custa caro de maneira injusta. Bom pra mim. Eu posso lucrar mais pelo fã idiota.
Guitarra;Tagima;R$2.019,00;Stratocaster;SSS;T-635 Sunburst;2022;China;Preço quase justo
Guitarra;Tonante;R$896,00;Stratocaster;SSS;Muriels - Snow White Branca ;2021;China;Talvez afunde se jogar na água!
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
